"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Merit_管理后台","推荐位管理","推荐位新增","0","0","3","0","0"
"Merit_管理后台","推荐位管理","推荐位列表","0","0","5","0","0"
"Merit_管理后台","推荐位管理","推荐位编辑","0","0","3","0","0"
"Merit_管理后台","推荐位管理","推荐位内容增删","2","0","1","0","0"
"Merit_管理后台","推荐位管理","推荐位配置","0","0","4","0","0"
"Merit_管理后台","标签管理","标签改查","0","0","6","0","0"
"Merit_APP","APP登录模块","APP正常登录","0","0","0","1","0"
"Merit_管理后台","标签管理","标签增删","0","0","4","0","0"
"Merit_APP","我的","查询收藏课程列表","0","0","1","0","0"
